School name,Adress school,ZC school,Bicimad station,Bicimad adress,Distance
Colegio Público Miguel Blasco Vilatela,CALLE HERMANOS GARCIA NOBLEJAS 70,28037,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,983.1511895341673
Colegio Público Miguel Servet,CALLE FRAGATA 33,28019,224 - Caramuel,Calle Caramuel nº 51,1911.8707168588483
Colegio Público Miguel de Unamuno,CALLE ALICANTE 5,28045,176 - Beata,Calle Alicante nº 3,28.06350383316963
Colegio Público Mirasierra,CALLE LA MASO 22,28034,217 - Pedro Rico,Calle Pedro Rico nº 4,3081.25525343885
Colegio Público Monte de El Pardo,AVENIDA GUARDIA 19,28048,261 - Facultad Derecho,Avenida Complutense nº 23,8897.937651032245
Colegio Público Méjico (México),AVENIDA BADAJOZ 74,28027,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,207.86048973516083
Colegio Público Méndez Núñez,CALLE ALICUN 9,28033,252 - Chamartín,Calle Rodríguez Jaén nº 40,2829.695761864164
Colegio Público Navas de Tolosa,CALLE BENIMAMET 109,28021,235 - Embajadores 191,Calle Sodio nº 1B,5032.065080471244
Colegio Público Nuestra Señora de la Almudena,CALLE LOPE DE RUEDA 48,28009,181 - Retiro-Ibiza,Calle Ibiza nº 18,164.52819646174535
Colegio Público Nuestra Señora de la Concepción,CALLE VIRGEN DEL SAGRARIO 24,28027,229 - C.D. Concepción,Calle Jose del Hierro nº 5,188.92605620845796
Colegio Público Nuestra Señora de la Fuencisla,CALLE TOMELLOSO 39,28026,213 - Glorieta de Cádiz,Calle Antonio López nº 129,997.2110167677737
Colegio Público Nuestra Señora de la Luz,CALLE MAGNESIA 9,28021,213 - Glorieta de Cádiz,Calle Antonio López nº 129,5078.09940561499
Colegio Público Nuestra Señora de la Paloma,CALLE TABERNILLAS 2,28005,38 - Plaza de los Carros,Carrera de San Francisco nº 1,37.05888360288155
Colegio Público Nuestra Señora del Lucero,CALLE MUÑICO 1,28047,224 - Caramuel,Calle Caramuel nº 51,1583.5792704775831
Colegio Público Nuria Espert,CALLE MARIA REICHE 34,28055,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,6446.511774672316
Colegio Público Pablo Picasso,CALLE ANGEL LUIS DE LA HERRAN 35,28043,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3021.3218093894416
Colegio Público Padre Coloma,CALLE GUTIERREZ CANALES 19,28022,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3584.4265187723336
Colegio Público Padre Mariana,RONDA SUR 145,28053,227 - Concordia,Calle Arroyo del Olivar nº 6,1963.017878345545
Colegio Público Padre Poveda,AVENIDA ALFONSO XIII 23,28002,251 - Corazón de María,Calle Santa Hortensia nº 31,786.5721618430567
Colegio Público Palacio Valdés,PASEO PRADO 38,28014,67 - Almadén,Calle Almadén nº 28,46.84302565079934
Colegio Público Palomeras Bajas,CALLE FELIPE DE DIEGO 6,28018,227 - Concordia,Calle Arroyo del Olivar nº 6,1724.6405656661486
Colegio Público Parque Aluche,CALLE QUERO 47,28024,224 - Caramuel,Calle Caramuel nº 51,4155.510557971418
Colegio Público Parque Eugenia de Montijo,CALLE PARQUE EUGENIA DE MONTIJO 28,28047,224 - Caramuel,Calle Caramuel nº 51,4335.1837962572035
Colegio Público Pasamonte,AVENIDA DOCTOR GARCIA TAPIA 47,28030,219 - Marroquina,Calle Camino de los Vinateros nº 108,469.9540202680987
Colegio Público Patriarca Obispo Eijo y Garay,CALLE LOPEZ DE HOYOS 40,28006,140 - Velázquez 130,Calle Velázquez nº 130,216.50890959694956
Colegio Público Pedro Duque,CALLE MARMOLINA 5,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,3063.0985868913217
Colegio Público Perú,CALLE BALEARES 18,28019,228 - San Delfín,Calle San Delfín nº 9,586.3084050389361
Colegio Público Pi I Margall,PLAZA DOS DE MAYO 2,28004,11 - San Andrés,Calle San Andrés nº 18,111.7513614954773
Colegio Público Pinar de San José,CALLE PATRIMONIO DE LA HUMANIDAD 39,28054,224 - Caramuel,Calle Caramuel nº 51,6506.280741133302
Colegio Público Pinar del Rey,AVENIDA SAN LUIS 23,28033,254 - Pío XII,Avenida Pío XII nº 3,2840.7588214176612
Colegio Público Pintor Rosales,CALLE PRINCIPE DE VERGARA 139,28002,146 - María Francisca 1,Calle María Francisca nº 1,45.19290236374804
Colegio Público Plácido Domingo,CALLE TEJO 5,28045,180 - Méndez Álvaro,Calle Retama nº 5,459.27809562455064
Colegio Público Portugal,CALLE JUAN ALVAREZ MENDIZABAL 20,28008,14 - Ventura Rodríguez,Calle Duque de Liria,206.70688694182866
Colegio Público Pradolongo,CALLE PARQUE DE LA PALOMA 9,28026,228 - San Delfín,Calle San Delfín nº 9,1929.8100728157362
Colegio Público Príncipe de Asturias,CALLE KANT 2,28049,217 - Pedro Rico,Calle Pedro Rico nº 4,6797.14266748107
Colegio Público Puerto Rico,CALLE SEGURA 74,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,3173.10113274156
Colegio Público Pío Baroja,CALLE LUIS DE HOYOS SAINZ 84,28030,221 - Pavones,Calle Hacienda de Pavones nº 342,514.7002870453736
Colegio Público Pío XII,CALLE DELFIN 2,28029,207 - Remonta,Calle Azucenas nº 1,580.633062777114
